"","x"
"1",540
"2",479
"3",402
"4",363
"5",342
"6",517
"7",505
"8",417
"9",383
"10",609
"11",457
"12",724
"13",397
"14",381
"15",732
"16",405
"17",371
"18",766
"19",700
"20",307
