"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Dnig.1LG0000030.1",0.0113249391371717,0.0677147545788403,0.0235983821511167,0.0485677612994309,0.0967774744605632,0.0212939765822194,0.103350604003868,0.0396410299818884,0.0275912141078899,0.0293003358524248,0.01402634851154,0.0182281029900431,0.0321839311976989,0.252345299412097,0.088068707157092,0.0345180867800602,0.0205931310974178,0.0123855117561748,0.0203727741708209,0.0381176347716424
"Dnig.1LG0000040.1",0.00104198229078245,0.00144561207071412,0.174215046404812,0.0270610012296106,0.0084131954828787,0.00108854385700936,0.00260763946534744,0.00122236235354322,0.00100186200018718,0.643067373749367,0.000915896613920973,0.0150464984744938,0.0275242202592234,0.00254602371106714,0.00602587751536615,0.0011506105386268,0.0382564578502878,0.00175093630056273,0.000903957516232853,0.0447149023159656
"Dnig.1LG0000050.1",0.0131159468408705,0.0641983956092288,0.0237377168167293,0.0447998155909421,0.0796591690177895,0.016172526410705,0.0686370791349416,0.0340858118452027,0.0268079577162297,0.0288415926847926,0.01360593377993,0.0186354300533233,0.0304364963884994,0.323272127905955,0.0769483047163034,0.0471676661054122,0.0210749554212426,0.0143168887304387,0.0184918654713836,0.0359943197600804
"Dnig.1LG0000060.1",0.0138497134607861,0.039343467316263,0.0115033245688107,0.013333144969615,0.0138713840166335,0.410115123464441,0.0309199593316848,0.078475034858018,0.07767890886751,0.011459881100003,0.0390979652798937,0.0126202765311209,0.0144584390089162,0.0203712621486541,0.0169675636428935,0.0320670578068296,0.0118326752763809,0.0116606451044936,0.128768199004847,0.0116059742422052
"Dnig.1LG0000070.1",0.00250625517061098,0.0527017555712663,0.00261546813260192,0.00350863579130313,0.0038273065872997,0.01091919944604,0.0152851743821554,0.761336054210783,0.0624425166325835,0.00268946305051223,0.00485198737543496,0.00273148670783713,0.00361161691257639,0.00912716726378202,0.00566468630445043,0.0292732389506359,0.002648332584282,0.00217757834345009,0.0192961314621034,0.00278594512029169
"Dnig.1LG0000100.1",0.0049194755577862,0.0133601000332231,0.0582013705029677,0.12342615670999,0.0406785571746561,0.00721634527978782,0.0338275474733443,0.0106744509357494,0.00773647685054797,0.059313195331751,0.00519229525554716,0.0455354341492577,0.332425696077722,0.0232365310429888,0.109583849894159,0.00931070173051625,0.0559081088121174,0.00679215520179781,0.00634146170019078,0.0463200902858994
"Dnig.1LG0000110.1",0.0191748092374816,0.0982201023892529,0.0275371186088347,0.0324167561663762,0.0285733087288179,0.0426251704297984,0.0904258021897503,0.120786746986593,0.0854777723798775,0.0260933041514571,0.028153175010867,0.0334270683426924,0.0404229221997458,0.0501082544431684,0.0493660502606064,0.097973549811146,0.0301689515827176,0.0188862790200245,0.055717256872917,0.0244456011878753
"Dnig.1LG0000120.1",0.0184877342395394,0.0395889022824434,0.0107947495235222,0.0127549265185503,0.0145414665033223,0.313144748225583,0.0263693634159136,0.0663829681188443,0.0909278266918058,0.01107804753728,0.0626717004209489,0.0111632367243992,0.0127629954359269,0.021952117466297,0.0157577399354302,0.0370588701162584,0.0107956930824212,0.013770074458249,0.198326566719385,0.0116702725838805
"Dnig.1LG0000130.1",0.458201008996458,0.0158212754923096,0.0132238055873145,0.0122057278825992,0.0129282239428618,0.0353796639167821,0.0135175515280359,0.0184468305496152,0.0240535927106242,0.0128395081263596,0.179004843738097,0.0145160592754134,0.0126372890128041,0.0137683078599515,0.0118595457447558,0.0198149503460925,0.0136331591443828,0.0712660477033483,0.0340296393819816,0.0128529690602124
"Dnig.1LG0000140.1",0.592608055926553,0.0102975970552866,0.0122109388327764,0.0106225750068169,0.0112807675771419,0.0183616585381338,0.00968202170353441,0.0110630012031183,0.0130813192738652,0.0118996599817152,0.0479119194628313,0.0129126239280865,0.0107233917256747,0.0103794766731998,0.00945273667000572,0.0120118863308375,0.0123877447962467,0.154855360112337,0.0162925129325424,0.0119647522692971
