"","x"
"Dnig.2LG0019790.1",4
"Dnig.2LG0019840.1",1
"Dnig.2LG0019880.1",7
"Dnig.2LG0019900.1",2
"Dnig.2LG0019920.1",12
"Dnig.2LG0019910.1",6
"Dnig.2LG0019930.1",13
"Dnig.2LG0019960.1",4
"Dnig.2LG0020000.1",14
"Dnig.2LG0020010.1",20
"Dnig.2LG0020020.1",10
"Dnig.2LG0020030.1",3
"Dnig.2LG0020040.1",6
"Dnig.2LG0020060.1",13
"Dnig.2LG0020080.1",5
"Dnig.2LG0020090.1",14
"Dnig.2LG0020100.1",10
"Dnig.2LG0020140.1",10
"Dnig.2LG0020150.1",3
"Dnig.2LG0020160.1",6
"Dnig.2LG0020170.1",20
"Dnig.2LG0020250.1",14
"Dnig.2LG0020260.1",2
"Dnig.2LG0020350.1",16
"Dnig.2LG0020360.1",1
"Dnig.2LG0020380.1",17
"Dnig.2LG0020440.1",16
"Dnig.2LG0020470.1",9
"Dnig.2LG0020520.1",4
"Dnig.2LG0020570.1",15
"Dnig.2LG0020580.1",12
"Dnig.2LG0020590.1",12
"Dnig.2LG0020620.1",12
"Dnig.2LG0020630.1",4
"Dnig.2LG0020660.1",2
"Dnig.2LG0020680.1",4
"Dnig.2LG0020690.1",5
"Dnig.2LG0020730.1",5
"Dnig.2LG0020740.1",2
"Dnig.2LG0020750.1",11
"Dnig.2LG0020770.1",5
"Dnig.2LG0020790.1",10
"Dnig.2LG0020810.1",8
"Dnig.2LG0020820.1",3
"Dnig.2LG0020840.1",14
"Dnig.2LG0020850.1",17
"Dnig.2LG0020860.1",20
"Dnig.2LG0020880.1",11
"Dnig.2LG0020890.1",13
"Dnig.2LG0020900.1",6
"Dnig.2LG0020940.1",2
"Dnig.2LG0020990.1",12
"Dnig.2LG0021000.1",6
"Dnig.2LG0021010.1",8
"Dnig.2LG0021030.1",7
"Dnig.2LG0021040.1",7
"Dnig.2LG0021060.1",18
"Dnig.2LG0021090.1",16
"Dnig.2LG0021100.1",2
"Dnig.2LG0021180.1",18
"Dnig.2LG0021190.1",14
"Dnig.2LG0021200.1",4
"Dnig.2LG0021210.1",19
"Dnig.2LG0021230.1",6
"Dnig.2LG0021240.1",17
"Dnig.2LG0021260.1",12
"Dnig.2LG0021290.1",14
"Dnig.2LG0021320.1",14
"Dnig.2LG0021330.1",3
"Dnig.2LG0021350.1",3
"Dnig.2LG0021360.1",4
"Dnig.2LG0021370.1",3
"Dnig.2LG0021380.1",10
"Dnig.2LG0021420.1",16
"Dnig.2LG0021430.1",7
"Dnig.2LG0021450.1",12
"Dnig.2LG0021460.1",17
"Dnig.2LG0021470.1",12
"Dnig.2LG0021490.1",14
"Dnig.2LG0021500.1",2
"Dnig.2LG0021510.1",13
"Dnig.2LG0021530.1",17
"Dnig.2LG0021540.1",14
"Dnig.2LG0021570.1",15
"Dnig.2LG0021580.1",4
"Dnig.2LG0021640.1",12
"Dnig.2LG0021700.1",13
"Dnig.2LG0021710.1",12
"Dnig.2LG0021740.1",14
"Dnig.2LG0021800.1",10
"Dnig.2LG0021890.1",10
"Dnig.2LG0021900.1",10
"Dnig.2LG0021910.1",20
"Dnig.2LG0021950.1",1
"Dnig.2LG0021970.1",10
"Dnig.2LG0021980.1",12
"Dnig.2LG0022020.1",20
"Dnig.2LG0022090.1",12
"Dnig.2LG0022100.1",10
"Dnig.2LG0022140.1",10
"Dnig.2LG0022160.1",12
"Dnig.2LG0022210.1",5
"Dnig.2LG0022230.1",12
"Dnig.2LG0022240.1",10
"Dnig.2LG0022250.1",12
"Dnig.2LG0022260.1",2
"Dnig.2LG0022270.1",17
"Dnig.2LG0022280.1",3
"Dnig.2LG0022290.1",17
"Dnig.2LG0022300.1",14
"Dnig.2LG0022310.1",13
"Dnig.2LG0022320.1",3
"Dnig.2LG0022330.1",16
"Dnig.2LG0022340.1",2
"Dnig.2LG0022350.1",10
"Dnig.2LG0022420.1",6
"Dnig.2LG0022430.1",9
"Dnig.2LG0022470.1",20
"Dnig.2LG0022480.1",6
"Dnig.2LG0022490.1",13
"Dnig.2LG0022500.1",16
"Dnig.2LG0022510.1",3
"Dnig.2LG0022520.1",2
"Dnig.2LG0022540.1",15
"Dnig.2LG0022550.1",8
"Dnig.2LG0022680.1",20
"Dnig.2LG0022700.1",17
"Dnig.2LG0022710.1",12
"Dnig.2LG0022730.1",10
"Dnig.2LG0022760.1",15
"Dnig.2LG0022780.1",20
"Dnig.2LG0022840.2",12
"Dnig.2LG0022860.1",20
"Dnig.2LG0022880.1",8
"Dnig.2LG0022890.1",11
"Dnig.2LG0022900.1",9
"Dnig.2LG0022920.1",1
"Dnig.2LG0022940.1",6
"Dnig.2LG0022970.1",20
"Dnig.2LG0023020.1",5
"Dnig.2LG0023070.1",12
"Dnig.2LG0023080.1",20
"Dnig.2LG0023090.1",14
"Dnig.2LG0023120.1",20
"Dnig.2LG0023150.1",20
"Dnig.2LG0023170.1",1
"Dnig.2LG0023180.1",10
"Dnig.2LG0023190.1",2
"Dnig.2LG0023200.1",6
"Dnig.2LG0023250.1",3
"Dnig.2LG0023260.1",15
"Dnig.2LG0023380.1",12
"Dnig.2LG0023390.1",16
"Dnig.2LG0023400.1",4
"Dnig.2LG0023410.1",9
"Dnig.2LG0023430.1",20
"Dnig.2LG0023450.1",10
"Dnig.2LG0023460.1",11
"Dnig.2LG0023470.1",15
"Dnig.2LG0023480.1",12
"Dnig.2LG0023490.1",6
"Dnig.2LG0023500.1",10
"Dnig.2LG0023510.1",17
"Dnig.2LG0023520.1",19
"Dnig.2LG0023530.1",14
"Dnig.2LG0023540.1",20
"Dnig.2LG0023550.1",9
"Dnig.2LG0023560.1",3
"Dnig.2LG0023600.1",3
"Dnig.2LG0023640.1",3
"Dnig.2LG0023650.1",20
"Dnig.2LG0023690.1",4
"Dnig.2LG0023720.1",20
"Dnig.2LG0023730.1",20
"Dnig.2LG0023740.1",9
"Dnig.2LG0023750.1",9
"Dnig.2LG0023760.1",10
"Dnig.2LG0023770.1",14
"Dnig.2LG0023780.1",3
"Dnig.2LG0023790.1",13
"Dnig.2LG0023800.1",8
"Dnig.2LG0023820.1",6
"Dnig.2LG0023840.1",4
"Dnig.2LG0023870.1",9
"Dnig.2LG0023880.1",10
"Dnig.2LG0023900.1",7
"Dnig.2LG0023920.1",7
"Dnig.2LG0023930.1",13
"Dnig.2LG0023940.1",3
"Dnig.2LG0023950.1",12
"Dnig.2LG0023960.1",10
"Dnig.2LG0023970.1",9
"Dnig.2LG0023990.1",2
"Dnig.2LG0024000.1",10
"Dnig.2LG0024020.1",16
"Dnig.2LG0024040.1",19
"Dnig.2LG0024060.1",14
"Dnig.2LG0024050.1",20
"Dnig.2LG0024080.1",2
"Dnig.2LG0024090.1",17
"Dnig.2LG0024110.1",3
"Dnig.2LG0024120.1",8
"Dnig.2LG0024130.1",10
"Dnig.2LG0024160.1",14
"Dnig.2LG0024170.1",4
"Dnig.2LG0024180.1",8
"Dnig.2LG0024190.1",16
"Dnig.2LG0024240.1",4
"Dnig.2LG0024250.1",14
"Dnig.2LG0024290.1",2
"Dnig.2LG0024300.1",3
"Dnig.2LG0024310.1",18
"Dnig.2LG0024320.1",12
"Dnig.2LG0024330.1",19
"Dnig.2LG0024340.1",8
"Dnig.2LG0024360.1",2
"Dnig.2LG0024370.1",7
"Dnig.2LG0024380.1",15
"Dnig.2LG0024400.1",11
"Dnig.2LG0024410.1",17
"Dnig.2LG0024430.1",9
"Dnig.2LG0024440.1",2
"Dnig.2LG0024450.1",3
"Dnig.2LG0024520.1",16
"Dnig.2LG0024550.1",13
"Dnig.2LG0024570.1",3
"Dnig.2LG0024580.1",14
"Dnig.2LG0024610.1",9
"Dnig.2LG0024650.1",17
"Dnig.2LG0024670.1",15
"Dnig.2LG0024680.1",19
"Dnig.2LG0024690.1",1
"Dnig.2LG0024700.1",3
"Dnig.2LG0024710.1",8
"Dnig.2LG0024720.1",18
"Dnig.2LG0024730.1",16
"Dnig.2LG0024760.1",7
"Dnig.2LG0024780.1",8
"Dnig.2LG0024790.1",8
"Dnig.2LG0024800.1",9
"Dnig.2LG0024810.1",6
"Dnig.2LG0024820.1",19
"Dnig.2LG0024860.1",14
"Dnig.2LG0024880.1",7
"Dnig.2LG0024890.3",10
"Dnig.2LG0024900.1",17
"Dnig.2LG0024910.1",12
"Dnig.2LG0024920.1",9
"Dnig.2LG0024930.1",3
"Dnig.2LG0024940.1",8
"Dnig.2LG0024970.1",10
"Dnig.2LG0024990.1",14
"Dnig.2LG0025010.1",4
"Dnig.2LG0025020.1",3
"Dnig.2LG0025050.1",19
"Dnig.2LG0025060.1",16
"Dnig.2LG0025070.1",15
"Dnig.2LG0025080.1",13
"Dnig.2LG0025090.1",8
"Dnig.2LG0025110.1",14
"Dnig.2LG0025120.1",13
"Dnig.2LG0025130.1",4
"Dnig.2LG0025250.1",10
"Dnig.2LG0025310.1",4
"Dnig.2LG0025320.1",17
"Dnig.2LG0025350.1",7
"Dnig.2LG0025360.1",16
"Dnig.2LG0025370.1",20
"Dnig.2LG0025380.1",5
"Dnig.2LG0025410.1",13
"Dnig.2LG0025420.1",15
"Dnig.2LG0025430.1",17
"Dnig.2LG0025440.1",6
"Dnig.2LG0025450.1",6
"Dnig.2LG0025460.1",18
"Dnig.2LG0025470.1",15
"Dnig.2LG0025490.1",15
"Dnig.2LG0025500.1",4
"Dnig.2LG0025510.1",15
"Dnig.2LG0025520.1",12
"Dnig.2LG0025560.1",18
"Dnig.2LG0025570.1",16
"Dnig.2LG0025640.1",6
"Dnig.2LG0025690.1",17
"Dnig.2LG0025720.1",3
"Dnig.2LG0025730.1",4
"Dnig.2LG0025740.1",14
"Dnig.2LG0025750.1",1
"Dnig.2LG0025760.1",12
"Dnig.2LG0025780.1",17
"Dnig.2LG0025790.1",12
"Dnig.2LG0025860.1",18
"Dnig.2LG0025870.1",7
"Dnig.2LG0025900.1",7
"Dnig.2LG0025910.1",13
"Dnig.2LG0025920.1",10
"Dnig.2LG0025950.1",16
"Dnig.2LG0025960.1",12
"Dnig.2LG0026030.1",5
"Dnig.2LG0026040.1",4
"Dnig.2LG0026050.1",12
"Dnig.2LG0026060.1",5
"Dnig.2LG0026110.1",6
"Dnig.2LG0026120.1",20
"Dnig.2LG0026150.1",19
"Dnig.2LG0026160.1",20
"Dnig.2LG0026170.1",3
"Dnig.2LG0026180.1",20
"Dnig.2LG0026190.1",20
"Dnig.2LG0026200.1",19
"Dnig.2LG0026220.1",12
"Dnig.2LG0026270.1",7
"Dnig.2LG0026280.1",5
"Dnig.2LG0026290.1",12
"Dnig.2LG0026400.1",12
"Dnig.2LG0026410.1",17
"Dnig.2LG0026420.1",17
"Dnig.2LG0026530.1",14
"Dnig.2LG0026540.1",5
"Dnig.2LG0026560.1",2
"Dnig.2LG0026570.1",13
"Dnig.2LG0026650.1",12
"Dnig.2LG0026690.1",16
"Dnig.2LG0026700.1",8
"Dnig.2LG0026720.1",11
"Dnig.2LG0026730.1",20
"Dnig.2LG0026760.1",13
"Dnig.2LG0026810.1",3
"Dnig.2LG0026820.1",19
"Dnig.2LG0026830.1",3
"Dnig.2LG0026840.1",20
"Dnig.2LG0026860.1",17
"Dnig.2LG0026870.1",10
"Dnig.2LG0026890.1",5
"Dnig.2LG0026900.1",14
"Dnig.2LG0026910.1",10
"Dnig.2LG0026920.1",8
"Dnig.2LG0026930.1",6
"Dnig.2LG0026940.1",20
"Dnig.2LG0027030.1",14
"Dnig.2LG0027040.1",15
"Dnig.2LG0027050.1",19
"Dnig.2LG0027060.1",16
"Dnig.2LG0027090.1",4
"Dnig.2LG0027100.1",3
"Dnig.2LG0027120.1",3
"Dnig.2LG0027140.1",13
"Dnig.2LG0027130.1",3
"Dnig.2LG0027150.1",15
"Dnig.2LG0027210.1",17
"Dnig.2LG0027230.1",16
"Dnig.2LG0027240.1",20
"Dnig.2LG0027310.1",2
"Dnig.2LG0027320.1",7
"Dnig.2LG0027330.1",17
"Dnig.2LG0027340.1",16
"Dnig.2LG0027350.1",8
"Dnig.2LG0027360.1",19
"Dnig.2LG0027370.1",8
"Dnig.2LG0027380.1",4
"Dnig.2LG0027390.1",17
"Dnig.2LG0027400.1",12
"Dnig.2LG0027410.1",17
"Dnig.2LG0027420.1",4
"Dnig.2LG0027440.1",16
"Dnig.2LG0027480.1",2
"Dnig.2LG0027490.1",3
"Dnig.2LG0027460.1",8
"Dnig.2LG0027470.1",5
"Dnig.2LG0027510.1",12
"Dnig.2LG0027520.1",15
"Dnig.2LG0027530.1",10
"Dnig.2LG0027550.1",10
"Dnig.2LG0027620.1",9
"Dnig.2LG0027630.1",13
"Dnig.2LG0027710.1",20
"Dnig.2LG0027720.1",19
"Dnig.2LG0027730.1",4
"Dnig.2LG0027740.1",14
"Dnig.2LG0027750.1",17
"Dnig.2LG0027770.1",12
"Dnig.2LG0027820.1",19
"Dnig.2LG0027830.1",12
"Dnig.2LG0027840.1",14
"Dnig.2LG0027850.1",15
"Dnig.2LG0027980.1",4
"Dnig.2LG0028000.1",19
"Dnig.2LG0027990.1",3
"Dnig.2LG0028010.1",17
"Dnig.2LG0028020.1",5
"Dnig.2LG0028100.1",17
"Dnig.2LG0028110.1",13
"Dnig.2LG0028120.1",16
"Dnig.2LG0028130.1",15
"Dnig.2LG0028140.1",4
"Dnig.2LG0028150.1",19
"Dnig.2LG0028170.1",1
"Dnig.2LG0028200.1",10
"Dnig.2LG0028220.1",17
"Dnig.2LG0028230.1",12
"Dnig.2LG0028370.1",12
"Dnig.2LG0028410.1",6
"Dnig.2LG0028440.1",10
"Dnig.2LG0028450.1",3
"Dnig.2LG0028460.1",12
"Dnig.2LG0028480.1",1
"Dnig.2LG0028520.1",2
"Dnig.2LG0028530.1",7
"Dnig.2LG0028540.1",7
"Dnig.2LG0028550.1",15
"Dnig.2LG0028580.1",10
"Dnig.2LG0028610.1",3
"Dnig.2LG0028620.1",6
"Dnig.2LG0028650.1",12
"Dnig.2LG0028660.1",12
"Dnig.2LG0028670.1",14
"Dnig.2LG0028690.1",20
"Dnig.2LG0028700.1",5
"Dnig.2LG0028740.1",4
"Dnig.2LG0028750.1",15
"Dnig.2LG0028760.1",17
"Dnig.2LG0028770.1",8
"Dnig.2LG0028800.1",13
"Dnig.2LG0028810.1",6
"Dnig.2LG0028830.1",16
"Dnig.2LG0028840.1",17
"Dnig.2LG0028910.1",6
"Dnig.2LG0028970.1",12
"Dnig.2LG0028980.1",17
"Dnig.2LG0029020.1",20
"Dnig.2LG0029030.1",17
"Dnig.2LG0029040.1",17
"Dnig.2LG0029050.1",9
"Dnig.2LG0029060.1",17
"Dnig.2LG0029090.1",12
"Dnig.2LG0029110.1",11
"Dnig.2LG0029140.1",16
"Dnig.2LG0029210.1",13
"Dnig.2LG0029220.1",10
"Dnig.2LG0029240.1",13
"Dnig.2LG0029250.1",12
"Dnig.2LG0029260.1",3
"Dnig.2LG0029270.1",12
"Dnig.2LG0029280.1",2
"Dnig.2LG0029290.1",14
"Dnig.2LG0029300.1",14
"Dnig.2LG0029310.1",3
"Dnig.2LG0029330.1",16
"Dnig.2LG0029340.1",9
"Dnig.2LG0029350.1",12
"Dnig.2LG0029360.1",7
"Dnig.2LG0029370.1",4
"Dnig.2LG0029380.1",13
"Dnig.2LG0029390.1",13
"Dnig.2LG0029400.1",10
"Dnig.2LG0029410.1",4
"Dnig.2LG0029430.1",16
"Dnig.2LG0029440.1",14
"Dnig.2LG0029450.1",2
"Dnig.2LG0029460.1",9
"Dnig.2LG0029470.1",16
"Dnig.2LG0029480.1",19
"Dnig.2LG0029520.1",20
"Dnig.2LG0029530.1",16
"Dnig.2LG0029550.1",16
"Dnig.2LG0029560.1",4
"Dnig.2LG0029570.1",1
"Dnig.2LG0029580.1",7
"Dnig.2LG0029590.1",18
"Dnig.2LG0029630.1",3
"Dnig.2LG0029640.1",2
"Dnig.2LG0029650.1",12
"Dnig.2LG0029660.1",5
"Dnig.3LG0000010.1",2
"Dnig.3LG0000030.1",20
"Dnig.3LG0000040.1",12
"Dnig.3LG0000050.1",3
"Dnig.3LG0000060.1",3
"Dnig.3LG0000070.1",12
"Dnig.3LG0000080.1",12
"Dnig.3LG0000090.1",7
"Dnig.3LG0000100.1",7
"Dnig.3LG0000110.1",20
"Dnig.3LG0000120.1",12
"Dnig.3LG0000140.1",5
"Dnig.3LG0000150.1",4
"Dnig.3LG0000160.1",17
"Dnig.3LG0000170.1",3
"Dnig.3LG0000180.1",12
"Dnig.3LG0000190.1",6
"Dnig.3LG0000200.1",12
"Dnig.3LG0000240.1",17
"Dnig.3LG0000250.1",9
"Dnig.3LG0000260.1",17
"Dnig.3LG0000270.1",10
"Dnig.3LG0000300.1",10
"Dnig.3LG0000310.1",16
"Dnig.3LG0000320.1",17
"Dnig.3LG0000330.1",10
"Dnig.3LG0000390.1",12
"Dnig.3LG0000400.1",17
"Dnig.3LG0000410.1",19
"Dnig.3LG0000450.1",17
"Dnig.3LG0000480.1",4
"Dnig.3LG0000490.1",14
"Dnig.3LG0000500.1",10
"Dnig.3LG0000510.1",13
"Dnig.3LG0000520.1",19
"Dnig.3LG0000530.1",13
"Dnig.3LG0000540.1",20
"Dnig.3LG0000550.1",20
"Dnig.3LG0000560.1",17
"Dnig.3LG0000570.1",4
"Dnig.3LG0000580.1",2
"Dnig.3LG0000590.1",15
"Dnig.3LG0000610.1",10
"Dnig.3LG0000740.1",10
"Dnig.3LG0000750.1",17
"Dnig.3LG0000760.1",12
"Dnig.3LG0000810.1",6
"Dnig.3LG0000830.1",3
"Dnig.3LG0000840.1",11
"Dnig.3LG0000850.1",20
"Dnig.3LG0000860.1",10
"Dnig.3LG0000870.1",20
"Dnig.3LG0000900.1",3
"Dnig.3LG0000910.1",19
"Dnig.3LG0001040.1",1
"Dnig.3LG0001080.1",20
"Dnig.3LG0001090.1",18
"Dnig.3LG0001100.1",20
"Dnig.3LG0001110.1",3
"Dnig.3LG0001120.1",8
"Dnig.3LG0001130.1",20
"Dnig.3LG0001140.1",19
"Dnig.3LG0001150.1",8
"Dnig.3LG0001160.1",20
"Dnig.3LG0001180.1",10
"Dnig.3LG0001190.1",6
"Dnig.3LG0001200.1",5
"Dnig.3LG0001210.1",2
"Dnig.3LG0001220.1",7
"Dnig.3LG0001230.1",4
"Dnig.3LG0001240.1",3
"Dnig.3LG0001250.1",3
"Dnig.3LG0001260.1",3
"Dnig.3LG0001270.1",14
"Dnig.3LG0001290.1",20
"Dnig.3LG0001310.1",16
"Dnig.3LG0001320.1",9
"Dnig.3LG0001330.1",16
"Dnig.3LG0001350.1",14
"Dnig.3LG0001360.1",17
"Dnig.3LG0001370.1",12
"Dnig.3LG0001380.1",10
"Dnig.3LG0001400.1",9
"Dnig.3LG0001410.1",20
"Dnig.3LG0001420.1",3
"Dnig.3LG0001430.1",10
"Dnig.3LG0001450.1",3
"Dnig.3LG0001460.1",15
"Dnig.3LG0001480.1",17
"Dnig.3LG0001490.1",3
"Dnig.3LG0001500.1",1
"Dnig.3LG0001520.1",18
"Dnig.3LG0001530.1",18
"Dnig.3LG0001590.1",20
"Dnig.3LG0001600.1",12
"Dnig.3LG0001620.1",6
"Dnig.3LG0001630.1",5
"Dnig.3LG0001640.1",13
"Dnig.3LG0001690.1",5
"Dnig.3LG0001720.1",3
"Dnig.3LG0001750.1",14
"Dnig.3LG0001760.1",17
"Dnig.3LG0001770.1",4
"Dnig.3LG0001780.1",16
"Dnig.3LG0001790.1",18
"Dnig.3LG0001800.1",12
"Dnig.3LG0001810.1",12
"Dnig.3LG0001820.1",3
"Dnig.3LG0001830.1",19
"Dnig.3LG0001840.1",16
"Dnig.3LG0001850.1",17
"Dnig.3LG0001860.1",3
"Dnig.3LG0001940.1",15
"Dnig.3LG0001950.1",7
"Dnig.3LG0001960.1",7
"Dnig.3LG0001970.1",20
"Dnig.3LG0001980.1",12
"Dnig.3LG0001990.1",15
"Dnig.3LG0002000.1",3
"Dnig.3LG0002010.1",8
"Dnig.3LG0002020.1",16
"Dnig.3LG0002070.1",17
"Dnig.3LG0002080.1",8
"Dnig.3LG0002240.1",3
"Dnig.3LG0002250.1",13
"Dnig.3LG0002280.1",17
"Dnig.3LG0002290.1",13
"Dnig.3LG0002300.1",15
"Dnig.3LG0002320.1",17
"Dnig.3LG0002340.1",15
"Dnig.3LG0002350.1",15
"Dnig.3LG0002370.1",5
"Dnig.3LG0002380.1",16
"Dnig.3LG0002390.1",12
"Dnig.3LG0002400.1",5
"Dnig.3LG0002420.1",20
"Dnig.3LG0002430.1",8
"Dnig.3LG0002440.1",15
"Dnig.3LG0002450.1",16
"Dnig.3LG0002470.1",20
"Dnig.3LG0002560.1",3
"Dnig.3LG0002570.1",10
"Dnig.3LG0002580.1",16
"Dnig.3LG0002590.1",5
"Dnig.3LG0002600.1",13
"Dnig.3LG0002610.1",9
"Dnig.3LG0002620.1",12
"Dnig.3LG0002630.1",1
"Dnig.3LG0002710.1",3
"Dnig.3LG0002720.1",13
"Dnig.3LG0002740.1",1
"Dnig.3LG0002940.1",6
"Dnig.3LG0002980.1",17
"Dnig.3LG0002990.1",3
"Dnig.3LG0003000.1",16
"Dnig.3LG0003010.1",20
"Dnig.3LG0003020.1",8
"Dnig.3LG0003030.1",14
"Dnig.3LG0003050.1",11
"Dnig.3LG0003060.1",14
"Dnig.3LG0003070.1",6
"Dnig.3LG0003080.1",2
"Dnig.3LG0003090.1",17
"Dnig.3LG0003100.1",20
"Dnig.3LG0003110.1",3
"Dnig.3LG0003130.1",19
"Dnig.3LG0003140.1",8
"Dnig.3LG0003150.1",9
"Dnig.3LG0003160.1",9
"Dnig.3LG0003170.1",9
"Dnig.3LG0003180.1",19
"Dnig.3LG0003190.1",3
"Dnig.3LG0003200.1",7
"Dnig.3LG0003220.1",13
"Dnig.3LG0003260.1",19
"Dnig.3LG0003270.1",14
"Dnig.3LG0003300.1",3
"Dnig.3LG0003310.1",14
"Dnig.3LG0003320.1",10
"Dnig.3LG0003350.1",11
"Dnig.3LG0003360.1",13
"Dnig.3LG0003440.1",5
"Dnig.3LG0003520.1",16
"Dnig.3LG0003530.1",8
"Dnig.3LG0003540.1",4
"Dnig.3LG0003560.1",8
"Dnig.3LG0003580.1",2
"Dnig.3LG0003610.1",5
"Dnig.3LG0003630.1",18
"Dnig.3LG0003640.1",1
"Dnig.3LG0003670.1",19
"Dnig.3LG0003680.1",13
"Dnig.3LG0003690.1",2
"Dnig.3LG0003700.1",17
"Dnig.3LG0003720.1",5
"Dnig.3LG0003740.1",13
"Dnig.3LG0003750.1",13
"Dnig.3LG0003760.1",14
"Dnig.3LG0003770.1",15
"Dnig.3LG0003780.1",3
"Dnig.3LG0003810.1",20
"Dnig.3LG0003820.1",3
"Dnig.3LG0003830.1",1
"Dnig.3LG0003860.1",20
"Dnig.3LG0003870.1",9
"Dnig.3LG0003900.1",3
"Dnig.3LG0003950.1",17
"Dnig.3LG0003960.1",3
"Dnig.3LG0003990.1",15
"Dnig.3LG0004000.1",17
"Dnig.3LG0004010.1",9
"Dnig.3LG0004020.1",5
"Dnig.3LG0004100.1",2
"Dnig.3LG0004110.1",7
"Dnig.3LG0004120.1",20
"Dnig.3LG0004270.1",14
"Dnig.3LG0004280.1",14
"Dnig.3LG0004290.1",17
"Dnig.3LG0004340.1",3
"Dnig.3LG0004350.1",17
"Dnig.3LG0004360.1",9
"Dnig.3LG0004390.1",15
"Dnig.3LG0004410.1",12
"Dnig.3LG0004430.1",17
"Dnig.3LG0004440.1",17
"Dnig.3LG0004450.1",14
"Dnig.3LG0004460.1",15
"Dnig.3LG0004470.1",3
"Dnig.3LG0004500.1",10
"Dnig.3LG0004510.1",5
"Dnig.3LG0004520.1",18
"Dnig.3LG0004530.1",20
"Dnig.3LG0004540.1",10
"Dnig.3LG0004570.1",2
"Dnig.3LG0004580.1",16
"Dnig.3LG0004590.1",7
"Dnig.3LG0004600.1",19
"Dnig.3LG0004610.1",7
"Dnig.3LG0004630.1",16
"Dnig.3LG0004640.1",4
"Dnig.3LG0004650.1",14
"Dnig.3LG0004660.1",12
"Dnig.3LG0004700.1",10
"Dnig.3LG0004710.1",7
"Dnig.3LG0004720.1",12
"Dnig.3LG0004730.1",3
"Dnig.3LG0004750.1",12
"Dnig.3LG0004760.1",17
"Dnig.3LG0004880.1",10
"Dnig.3LG0004900.1",7
"Dnig.3LG0004910.1",19
"Dnig.3LG0004950.1",10
"Dnig.3LG0005010.1",10
"Dnig.3LG0005020.1",9
"Dnig.3LG0005030.1",9
"Dnig.3LG0005040.1",12
"Dnig.3LG0005070.1",13
"Dnig.3LG0005100.1",17
"Dnig.3LG0005130.1",19
"Dnig.3LG0005140.1",5
"Dnig.3LG0005150.1",13
"Dnig.3LG0005170.1",13
"Dnig.3LG0005200.1",19
"Dnig.3LG0005210.1",14
"Dnig.3LG0005220.1",6
"Dnig.3LG0005230.1",20
"Dnig.3LG0005240.1",17
"Dnig.3LG0005260.1",20
"Dnig.3LG0005250.1",4
"Dnig.3LG0005310.1",19
"Dnig.3LG0005320.1",19
"Dnig.3LG0005340.1",10
"Dnig.3LG0005360.1",2
"Dnig.3LG0005400.1",19
"Dnig.3LG0005410.1",12
"Dnig.3LG0005420.1",15
"Dnig.3LG0005430.1",6
"Dnig.3LG0005440.1",12
"Dnig.3LG0005450.1",9
"Dnig.3LG0005460.1",12
"Dnig.3LG0005470.1",5
"Dnig.3LG0005480.1",16
"Dnig.3LG0005500.1",17
"Dnig.3LG0005510.1",3
"Dnig.3LG0005520.1",3
"Dnig.3LG0005530.1",3
"Dnig.3LG0005540.1",17
"Dnig.3LG0005550.1",5
"Dnig.3LG0005560.1",13
"Dnig.3LG0005570.1",8
"Dnig.3LG0005600.1",7
"Dnig.3LG0005610.1",20
"Dnig.3LG0005640.1",12
"Dnig.3LG0005690.1",9
"Dnig.3LG0005710.1",9
"Dnig.3LG0005740.1",12
"Dnig.3LG0005750.1",11
"Dnig.3LG0005760.1",1
"Dnig.3LG0005800.1",17
"Dnig.3LG0005810.1",7
"Dnig.3LG0005830.1",16
"Dnig.3LG0005850.1",10
"Dnig.3LG0005880.1",14
"Dnig.3LG0005890.1",6
"Dnig.3LG0005900.1",1
"Dnig.3LG0005910.1",19
"Dnig.3LG0006010.1",3
"Dnig.3LG0006050.1",9
"Dnig.3LG0006060.1",17
"Dnig.3LG0006100.1",15
"Dnig.3LG0006110.1",10
"Dnig.3LG0006130.1",5
"Dnig.3LG0006140.1",10
"Dnig.3LG0006170.1",11
"Dnig.3LG0006180.1",5
"Dnig.3LG0006200.1",16
"Dnig.3LG0006210.1",20
"Dnig.3LG0006220.1",8
"Dnig.3LG0006230.1",4
"Dnig.3LG0006240.1",4
"Dnig.3LG0006250.1",4
"Dnig.3LG0006260.1",20
"Dnig.3LG0006270.1",12
"Dnig.3LG0006300.1",13
"Dnig.3LG0006310.1",1
"Dnig.3LG0006320.1",13
"Dnig.3LG0006330.1",14
"Dnig.3LG0006350.1",9
"Dnig.3LG0006360.1",14
"Dnig.3LG0006380.1",13
"Dnig.3LG0006400.1",5
"Dnig.3LG0006430.1",6
"Dnig.3LG0006420.1",17
"Dnig.3LG0006440.1",17
"Dnig.3LG0006450.1",2
"Dnig.3LG0006500.1",1
"Dnig.3LG0006520.1",3
"Dnig.3LG0006530.1",19
"Dnig.3LG0006540.1",13
"Dnig.3LG0006560.1",20
"Dnig.3LG0006590.1",14
"Dnig.3LG0006600.1",16
"Dnig.3LG0006610.1",5
"Dnig.3LG0006630.1",17
"Dnig.3LG0006640.1",11
"Dnig.3LG0006690.1",8
"Dnig.3LG0006710.1",8
"Dnig.3LG0006720.1",7
"Dnig.3LG0006740.1",15
"Dnig.3LG0006750.1",14
