"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Dnig.1LG0000030.1",0.0108542659184226,0.0751967832813195,0.0181596211854049,0.00914570937925775,0.0080748779348494,0.0168809652764762,0.0340383996344432,0.0171205251683412,0.012788247782964,0.0343597158108941,0.455458214402975,0.01497595415028,0.0306313251803585,0.0110826676344048,0.0209338547342817,0.0628402044190163,0.136876044051568,0.0118592018238271,0.0101409330249607,0.00858248920595516
"Dnig.1LG0000040.1",0.0167868156405369,0.00973851214394376,0.00198630695256531,0.00175779720012612,0.00197321602015002,0.098792274079278,0.0151323427618853,0.00293744525381014,0.00178753613266673,0.0202906602906987,0.00361933604886202,0.607662427621566,0.00228781438956548,0.00171635121595135,0.0647897373130954,0.00306442447072051,0.00528476530519776,0.106734782883768,0.032020025846467,0.00163742842914614
"Dnig.1LG0000050.1",0.0125876915540193,0.0844267195141802,0.0224685908743591,0.0103045757782534,0.00834371593915824,0.0195134480563464,0.0432126177911887,0.0219610844627388,0.0152474784924443,0.0364817723202168,0.243261963457624,0.0164623892112484,0.040072486166956,0.0128792814015829,0.0225367266856913,0.09981651923722,0.256557528424734,0.0131926562941494,0.0113519490694659,0.00932080526842343
"Dnig.1LG0000060.1",0.0109074554659153,0.356946092117383,0.00588298560446367,0.00420042919484923,0.00450435570037689,0.0274994803890032,0.0493002660246001,0.00733626819459888,0.00477745388212174,0.307040454061127,0.0312367360426918,0.0283631808797694,0.00791966685252538,0.00441828658163521,0.0658513626868677,0.0130216933987101,0.038012515257604,0.0168256259760047,0.0119921831840377,0.00396350850571532
"Dnig.1LG0000070.1",0.0133420820473464,0.0142814867868759,0.179480797405164,0.0212877204122897,0.00775524590780074,0.0123453463424462,0.0187348118457113,0.30196569418837,0.0836580643154242,0.0108658487354521,0.016006057032065,0.00929550136819889,0.12421406452538,0.0448932120932748,0.0095676411217554,0.0726672524114356,0.0269278285809953,0.00928649835574113,0.00945307704925263,0.0139717694750203
"Dnig.1LG0000100.1",0.00973329748402719,0.537587558484934,0.00491978825718913,0.00323789499191372,0.00303758347347593,0.027729657543054,0.0947999233605274,0.00670693693895602,0.003901746726648,0.132002925794149,0.0192675733724691,0.0216637840930278,0.00674749937318747,0.00351966120218173,0.0428136137006546,0.0120515032458705,0.0443053620439979,0.0134144422887795,0.0096540425557831,0.00290520506917493
"Dnig.1LG0000110.1",0.0606670569282843,0.0294879051214103,0.0865552075736089,0.0398648549912179,0.0228156448482432,0.0414280238049922,0.0457433563927773,0.143973653227905,0.0795274095084481,0.0264082929370182,0.0251177210380343,0.0301860819102469,0.0736995163983903,0.0614273137123922,0.0269585272419871,0.0585925602445044,0.0412099063442284,0.0343401380122573,0.0387308397810782,0.0332659899829759
"Dnig.1LG0000120.1",0.0108234854246518,0.00750071190591063,0.0208881159022016,0.609049780346666,0.0236871909749768,0.00811067526864971,0.00820659832554424,0.0217028061848253,0.0348755039251993,0.00733394695685531,0.00907618852432032,0.00764295545771817,0.0139183757371732,0.0634281456434557,0.00731294484340498,0.0110590401577726,0.0086574126838473,0.0082031624344215,0.00906002909145173,0.109462930210953
"Dnig.1LG0000130.1",0.0157079305717819,0.0126252279771676,0.0215311188202881,0.0675854429527119,0.429346952381027,0.0129911994652834,0.0123745812701332,0.0192345653622271,0.0276300651523129,0.0130187354363303,0.0162274885767432,0.0136000792997381,0.0176183629262823,0.0376666847505371,0.0132251970233308,0.0148332951206144,0.0130575617449816,0.0142847503323985,0.0153989781811717,0.212041782654938
"Dnig.1LG0000140.1",0.0174897223727102,0.0136293791750698,0.018802496464534,0.0544500609834949,0.543161160597758,0.0144851447055802,0.0132194348862765,0.0181479379476229,0.0231587848207319,0.0146222805827953,0.016794182671577,0.0157367388871967,0.0160143266092813,0.0303361225808506,0.015177449655817,0.0142567007754706,0.0133562846960969,0.0165685808338607,0.017873281404852,0.112719929348424
"Dnig.1LG0000170.1",0.00788539512462857,0.00805796703046997,0.109825437267547,0.0550617387169501,0.012780931602104,0.00692343440479212,0.00857477030448391,0.0350739848520442,0.287882008232335,0.00680033182702928,0.0117321612144928,0.00605526934192872,0.0431701266126092,0.307134209142409,0.00619939248832314,0.0216410047070963,0.0116843998251673,0.00612925778023486,0.00638611157920889,0.0410020679461456
"Dnig.1LG0000190.1",0.0115256085334839,0.00689547220887352,0.0015058904264622,0.00144378729758128,0.0017230159058101,0.0350640859152093,0.00890428319889567,0.00217331630456638,0.00138419985562394,0.0152920404861917,0.00285044271975121,0.731850017396834,0.0017004530681188,0.00135665190961425,0.05384145481716,0.00222394662941008,0.00370469920735354,0.0887298734183242,0.0264690722750454,0.00136168842569064
"Dnig.1LG0000210.1",0.0244270635632903,0.0174758286384405,0.0338295803612558,0.287593244332003,0.0706283430702427,0.0188425219586058,0.0182792977930434,0.0363278332849346,0.0483168467480419,0.017804879799494,0.0211634301860819,0.0187075333709474,0.0253035103278415,0.0740609242917969,0.0179772375646949,0.021810517578155,0.0187358405490517,0.0199034888237505,0.0218032370775574,0.187008840680771
"Dnig.1LG0000220.1",0.0187174449782532,0.00809789186605862,0.00199250283926833,0.0019343889600052,0.00226441937543444,0.0507622850539275,0.0112509170751094,0.00293177979177228,0.00184590601791098,0.0163971168299397,0.0034870971520765,0.51671983252057,0.00222231888038139,0.00181193730276671,0.0476998426446827,0.00286967729348507,0.00463313787307532,0.251736197125673,0.0508145682472244,0.00181073817238514
"Dnig.1LG0000280.1",0.00674619513910056,0.00568416131629675,0.0141504326473522,0.0722595990918977,0.0465624227808847,0.00556768086108385,0.00568809890764346,0.011411778124151,0.0205698354902447,0.00554289671869065,0.00771865670797055,0.00551276566521235,0.0103974620284876,0.0325994987887672,0.00544154349004901,0.00805189809110883,0.00639474351473676,0.00574324432564425,0.0061621213765771,0.717794964934101
"Dnig.1LG0000290.1",0.0127515101740662,0.01721887511252,0.00237048415557691,0.00205229840009898,0.002329696829684,0.0645654625661433,0.0209364664909015,0.00337939755619988,0.00209639946974556,0.0520688931747298,0.00535901031683676,0.244216440365501,0.00280952819707777,0.00200866263520395,0.48874694602728,0.00392124965388833,0.00747822503697893,0.0439500765682735,0.0198207971876989,0.00191958008159487
"Dnig.1LG0000300.1",0.0217461226357341,0.00936034090553462,0.00228244890099022,0.00224114357523569,0.00255219697423475,0.0591636406617264,0.0130943747350035,0.00340140868138748,0.00211968524650348,0.0191344636995977,0.00400792402782694,0.500049424577082,0.0025365101968395,0.00208496022748553,0.0553477846086538,0.00329071010915158,0.00533260490136039,0.235042264508953,0.0551411310229307,0.00207085980376858
"Dnig.1LG0000310.1",0.0276828265645014,0.0200338949504597,0.00368015104161103,0.0030792304928252,0.0033820243405804,0.23425668794545,0.0338719837455357,0.00543959994270627,0.0032528544406009,0.0406275102241777,0.00683580269204191,0.323178710400358,0.00432690328000058,0.00308209427393318,0.115298315650862,0.00592581485097688,0.0106393903515805,0.109014314280731,0.0435271816055896,0.00286470892547901
"Dnig.1LG0000320.1",0.0257045756735611,0.0198654877082607,0.0033434495151075,0.00282546342691542,0.00285885511471856,0.371896800293949,0.0376819346159271,0.00516844059400135,0.00295718275707547,0.0418827104507098,0.00630639794386696,0.227835013997564,0.00391301370499674,0.00280345591612213,0.11398632874922,0.00549911067020803,0.0102169787350821,0.0783305026095731,0.0343918228744753,0.00253247464866527
"Dnig.1LG0000330.1",0.154727004325285,0.0236601519292934,0.00858929056699959,0.0068293310415228,0.00655923738661192,0.242631717972671,0.0550719041094468,0.0141593405192445,0.00768043790443341,0.0311309878891376,0.0104652628087147,0.0872541004389855,0.00968028531231962,0.00712940533214059,0.0475936958376706,0.0124610542628665,0.0184827194159136,0.132541877257537,0.117221272913186,0.00613092277601978
"Dnig.1LG0000340.1",0.0145479927696723,0.00263525817572389,0.000884272563923775,0.000882377302256587,0.00100888842031554,0.018060624356217,0.00406840759192432,0.00134317826763665,0.000836278824624757,0.00440820355111183,0.001276441008086,0.033163235593128,0.000956024029258163,0.000824021339612057,0.00916443340489877,0.00118390641648346,0.00174917784987247,0.798499924322588,0.103685867334062,0.00082148687860479
"Dnig.1LG0000360.1",0.0179604824908081,0.196051369279249,0.0102850118029426,0.00794307266323616,0.00954673756269838,0.0392148665328935,0.0534398680657127,0.0121179633826978,0.00856019642335837,0.283896473628755,0.0617767835644784,0.047287143158599,0.0134801689054242,0.00809755778646465,0.103691332958356,0.0205598497541187,0.0485329094337139,0.0288214844881668,0.0209344344965928,0.00780229362173403
"Dnig.1LG0000380.1",0.00736470053185065,0.00794380541428872,0.363970907249959,0.0249060940077381,0.0067694127743393,0.00664763277270297,0.0091385984570257,0.0740713609398789,0.243825124269405,0.00630988437333204,0.0106541544094676,0.00541968798169805,0.0729079114452336,0.0838258860573126,0.00560187045369208,0.0311784820254564,0.0132579012500327,0.00542628685718962,0.00557778070965995,0.0152025180197372
"Dnig.1LG0000390.1",0.00994330567142696,0.023289638503006,0.042542273542275,0.00955462999086323,0.0062887680212173,0.0123740512727327,0.024251827130122,0.0324851891919552,0.0213285235533847,0.0141658714303243,0.0309235120215688,0.00949495547534794,0.146507741279282,0.0151392533788411,0.0109658541256041,0.495246764074765,0.0705399241929452,0.0085803613210401,0.00800376161872249,0.00837379420457601
"Dnig.1LG0000400.1",0.0514996937489935,0.0674342391440627,0.014499181752815,0.00885348304629274,0.00826238681600877,0.149207724775498,0.224473071975888,0.0219075041741828,0.011611739692588,0.0647901544426834,0.0224398187173511,0.0670587521002292,0.0189457902561557,0.0101696387195093,0.0673033148683007,0.0287200046758714,0.0553452057557227,0.0560189429435385,0.0434033000408261,0.00805605235348256
"Dnig.1LG0000450.1",0.0096366134398342,0.523762641418192,0.00791332782702191,0.00464063621521216,0.00432065710487884,0.0203265330591482,0.0579322764472428,0.00955991596514665,0.00596459494918875,0.0653898832378058,0.0537242224697935,0.0170417786466104,0.0118464145409162,0.00527410833578518,0.0284752673519461,0.0235139709736325,0.125223040373144,0.0119089769113105,0.00929826614202349,0.00424687459116768
"Dnig.1LG0000460.1",0.00882196017654718,0.00710186509946696,0.00130497551294362,0.00118233598266591,0.00138379896747865,0.0379115363959251,0.0092812325908335,0.00187414702989133,0.0011766516275827,0.017130949598119,0.00262104226192742,0.758336519056808,0.00150803884265941,0.00113848451371841,0.0783416539224876,0.00202534906369929,0.00355926675695517,0.0474150548056853,0.0167708841182803,0.00111425367632457
