"","x"
"1",316
"2",334
"3",757
"4",467
"5",518
"6",444
"7",434
"8",379
"9",379
"10",704
"11",273
"12",749
"13",645
"14",459
"15",497
"16",489
"17",626
"18",268
"19",447
"20",612
